epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.6636363863945007,1.2979792356491089,0.001,0.8014184236526489,0.4220331311225891
1,0.7318181991577148,0.576274037361145,0.001,0.7553191781044006,0.4731654226779938
2,0.728787899017334,0.5242055058479309,0.001,0.8031914830207825,0.4203064739704132
3,0.7590909004211426,0.4975978136062622,0.001,0.7783687710762024,0.4471432864665985
4,0.7515151500701904,0.49690353870391846,0.001,0.8085106611251831,0.3994039297103882
5,0.7121211886405945,0.5377049446105957,0.001,0.8102836608886719,0.4097229838371277
6,0.8045454621315002,0.4432920515537262,0.001,0.7748227119445801,0.4262039363384247
7,0.7590909004211426,0.485583633184433,0.001,0.707446813583374,0.5142742991447449
8,0.7545454502105713,0.47479531168937683,0.000100000005,0.7854610085487366,0.4167776107788086
9,0.800000011920929,0.4378393888473511,0.000100000005,0.817375898361206,0.3484606444835663
10,0.7651515007019043,0.4906369149684906,0.000100000005,0.7659574747085571,0.4398348331451416
11,0.8030303120613098,0.4551559388637543,0.000100000005,0.7819148898124695,0.4243291914463043
12,0.7803030014038086,0.4532158672809601,0.000100000005,0.7748227119445801,0.4314815104007721
0,0.6772727370262146,1.21299147605896,0.001,0.783687949180603,0.4402509033679962
1,0.75,0.5138488411903381,0.001,0.7996453642845154,0.4106549620628357
2,0.7424242496490479,0.5279473066329956,0.001,0.7907801270484924,0.455535888671875
3,0.760606050491333,0.5007070302963257,0.001,0.7960993051528931,0.41227659583091736
4,0.7409090995788574,0.5305002927780151,0.001,0.8067376017570496,0.4125782549381256
5,0.8121212124824524,0.4449845850467682,0.000100000005,0.826241135597229,0.3864392340183258
6,0.7515151500701904,0.47879061102867126,0.000100000005,0.7695035338401794,0.43097782135009766
7,0.7530303001403809,0.4970863163471222,0.000100000005,0.7748227119445801,0.4188740849494934
8,0.8075757622718811,0.44117432832717896,0.000100000005,0.7783687710762024,0.4314665198326111
9,0.8060606122016907,0.4622693657875061,1.0000001e-05,0.7535461187362671,0.4619283378124237
10,0.7803030014038086,0.45855748653411865,1.0000001e-05,0.7393617033958435,0.4742255210876465
